12:05:41:722 [ALWAYS]	GUDE Logging Started
12:05:41:725 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:05:41:725 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:05:41:725 [ERROR]	Initialize resume cache pointer failure
12:05:41:726 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:05:41:726 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:05:51:678 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:05:51:678 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:05:51:678 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:05:51:678 [ERROR]	Initialize resume cache pointer failure
12:05:51:679 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:05:51:679 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
